"","Neighborhood","Age 10 or less (%)","Age 11 to 18 (%)","Age 19 to 34 (%)","Age 35 to 49 (%)","Age 50 to 64 (%)","Age 65 and up (%)","Median Age","Square Miles","Diversity Index","Bachelor's Degree (%)","Four-year Degrees (%)","High School Diploma (%)","Less Than High School (%)","Masters Degree or Higher (%)","Some College (%)","Asian Population (%)","Black Population (%)","Latino Population (%)","Non-White Population (%)","White Population (%)","Foreign Born Population (%)","Median income 125k and up (%)","Median income 20k income or less (%)","Median income 20k to 40k income (%)","Median income 40k to 60k income (%)","Median income 60k to 125k income (%)","Percent of Households (%)","Median Income ($)","Divorced Females (%)","Divorced Males (%)","Married Females (%)","Married Males (%)","Never Married Females (%)","Never Married Males (%)","Widowed Females (%)","Widowed Males (%)","1975-1990 (%)","1990-1999 (%)","Vietnam (%)","World War II or Korea (%)","Homeowners (%)","Population per Sqmi","Population Total"
"30","Brentwood",0.087,0.054,0.284,0.223,0.18,0.172,39,15.2,0.283,0.371,0.704,0.076,0.037,0.333,0.183,0.065,0.012,0.045,0.158,0.842,0.211,2,0.324,0.101,0.112,0.131,0.291,112927,0.127,0.078,0.43,0.532,0.366,0.364,0.077,0.027,0.052,0.036,0.182,0.726,0.516,"2,059","31,344"
"31","Broadway-Manchester",0.253,0.157,0.256,0.192,0.084,0.058,23,1.6,0.502,0.029,0.039,0.208,0.581,0.01,0.172,0.004,0.393,0.586,0.99,0.01,0.35,3.7,0.01,0.405,0.26,0.12,0.092,29897,0.071,0.056,0.428,0.464,0.406,0.455,0.095,0.025,0.199,0.098,0.144,0.554,0.369,"15,060","23,471"
"32","Burbank",0.133,0.1,0.233,0.263,0.141,0.129,36,17.3,0.581,0.206,0.29,0.213,0.169,0.084,0.328,0.092,0.016,0.248,0.412,0.588,0.311,2.4,0.083,0.188,0.22,0.183,0.297,64416,0.126,0.093,0.499,0.531,0.263,0.354,0.112,0.022,0.145,0.072,0.264,0.51,0.436,"5,785","100,316"
"33","Calabasas",0.16,0.132,0.15,0.29,0.187,0.081,38,18.5,0.298,0.334,0.571,0.113,0.03,0.237,0.286,0.082,0.01,0.053,0.168,0.832,0.19,2.7,0.372,0.068,0.106,0.118,0.315,126178,0.107,0.06,0.637,0.692,0.207,0.235,0.049,0.013,0.041,0.029,0.33,0.589,0.797,"1,247","23,130"
"34","Canoga Park",0.194,0.108,0.295,0.231,0.095,0.077,30,4.3,0.632,0.133,0.18,0.206,0.351,0.046,0.264,0.111,0.043,0.509,0.693,0.307,0.428,3,0.042,0.227,0.282,0.193,0.229,51601,0.103,0.07,0.522,0.511,0.296,0.404,0.079,0.015,0.152,0.103,0.239,0.503,0.364,"12,240","53,227"
"35","Carson",0.171,0.128,0.216,0.219,0.161,0.105,33,19.1,0.741,0.137,0.181,0.214,0.294,0.043,0.311,0.244,0.248,0.349,0.88,0.12,0.329,3.5,0.065,0.146,0.205,0.214,0.343,70645,0.09,0.058,0.53,0.569,0.286,0.352,0.093,0.021,0.113,0.096,0.307,0.477,0.78,"4,676","89,549"
"36","Carthay",0.098,0.065,0.279,0.276,0.141,0.142,37,0.5,0.615,0.342,0.532,0.114,0.106,0.191,0.248,0.085,0.128,0.159,0.422,0.578,0.251,2.1,0.156,0.202,0.182,0.166,0.272,71398,0.12,0.076,0.374,0.488,0.348,0.424,0.158,0.012,0.035,0.074,0.295,0.58,0.353,"9,642","4,866"
"37","Castaic",0.122,0.092,0.364,0.325,0.074,0.022,31,5.5,0.654,0.151,0.19,0.266,0.207,0.04,0.337,0.055,0.132,0.322,0.53,0.47,0.175,3.2,0.185,0.058,0.097,0.129,0.507,108693,0.078,0.072,0.726,0.8,0.172,0.087,0.023,0.041,0.309,0.171,0.33,0.188,0.875,"3,076","16,843"
"38","Castaic Canyons",0.185,0.134,0.184,0.288,0.151,0.057,34,192.7,0.43,0.165,0.225,0.233,0.126,0.06,0.416,0.039,0.029,0.165,0.265,0.735,0.098,3,0.147,0.086,0.137,0.158,0.411,93248,0.102,0.074,0.684,0.651,0.168,0.261,0.046,0.013,0.146,0.074,0.376,0.402,0.856,"40","7,757"
"39","Central-Alameda",0.258,0.158,0.298,0.176,0.066,0.044,22,2.2,0.267,0.019,0.028,0.131,0.75,0.009,0.091,0.007,0.133,0.846,0.99,0.01,0.527,4.3,0.022,0.39,0.289,0.122,0.085,31559,0.046,0.036,0.535,0.519,0.362,0.426,0.057,0.019,0.137,0.136,0.152,0.498,0.298,"18,760","40,947"
"40","Century City",0.085,0.038,0.206,0.226,0.181,0.264,46,0.7,0.309,0.287,0.554,0.112,0.059,0.267,0.275,0.086,0.014,0.044,0.175,0.825,0.255,1.8,0.282,0.141,0.133,0.151,0.232,95135,0.113,0.109,0.46,0.561,0.258,0.297,0.17,0.033,0.045,0.072,0.124,0.748,0.604,"7,869","5,513"
"41","Cerritos",0.129,0.13,0.179,0.239,0.227,0.095,38,8.9,0.599,0.293,0.435,0.162,0.095,0.142,0.309,0.583,0.064,0.105,0.79,0.21,0.455,3.3,0.173,0.077,0.145,0.157,0.434,98212,0.077,0.035,0.605,0.635,0.242,0.313,0.077,0.017,0.082,0.085,0.348,0.483,0.834,"5,851","51,831"
"42","Charter Oak",0.177,0.13,0.219,0.256,0.133,0.085,32,0.9,0.659,0.12,0.179,0.25,0.186,0.059,0.385,0.098,0.048,0.363,0.558,0.442,0.176,2.9,0.049,0.166,0.211,0.207,0.341,68092,0.153,0.093,0.523,0.575,0.232,0.313,0.092,0.019,0.168,0.082,0.307,0.435,0.629,"9,816","9,046"
"43","Chatsworth",0.131,0.105,0.176,0.261,0.197,0.13,40,15.2,0.527,0.223,0.34,0.215,0.109,0.116,0.336,0.144,0.022,0.135,0.343,0.657,0.252,2.6,0.149,0.113,0.155,0.196,0.367,84456,0.117,0.081,0.565,0.611,0.223,0.286,0.096,0.022,0.071,0.071,0.304,0.543,0.711,"2,301","35,073"
"45","Chesterfield Square",0.202,0.148,0.201,0.225,0.119,0.105,31,0.6,0.52,0.045,0.06,0.243,0.392,0.015,0.305,0.008,0.586,0.369,0.985,0.015,0.234,3,0.019,0.329,0.275,0.163,0.127,37737,0.136,0.079,0.376,0.435,0.371,0.463,0.117,0.024,0.096,0.082,0.241,0.55,0.506,"9,571","6,062"
"46","Cheviot Hills",0.129,0.082,0.173,0.247,0.186,0.182,42,1.5,0.364,0.285,0.6,0.1,0.052,0.315,0.248,0.091,0.013,0.083,0.212,0.788,0.208,2.2,0.327,0.109,0.119,0.134,0.27,111813,0.141,0.077,0.526,0.576,0.234,0.321,0.1,0.026,0.058,0.045,0.198,0.679,0.643,"4,520","6,945"
"47","Chinatown",0.143,0.091,0.221,0.202,0.143,0.199,37,0.9,0.445,0.067,0.083,0.156,0.606,0.017,0.155,0.706,0.018,0.235,0.975,0.025,0.724,2.8,0.01,0.536,0.249,0.087,0.074,22754,0.042,0.044,0.533,0.59,0.275,0.342,0.149,0.025,0.062,0.099,0.283,0.556,0.09,"10,568","9,610"
"48","Citrus",0.21,0.142,0.278,0.204,0.109,0.057,26,1,0.519,0.09,0.115,0.229,0.388,0.024,0.268,0.065,0.037,0.649,0.769,0.231,0.339,3.7,0.04,0.152,0.214,0.256,0.298,66638,0.088,0.064,0.521,0.53,0.315,0.389,0.076,0.017,0.185,0.161,0.261,0.378,0.629,"11,827","11,964"
"49","Claremont",0.105,0.126,0.243,0.211,0.168,0.148,36,16.7,0.545,0.242,0.523,0.143,0.075,0.282,0.259,0.117,0.047,0.155,0.357,0.643,0.159,2.5,0.175,0.135,0.154,0.144,0.371,89804,0.106,0.056,0.517,0.558,0.295,0.357,0.082,0.029,0.076,0.056,0.299,0.561,0.679,"2,124","35,397"
"50","Commerce",0.212,0.138,0.254,0.188,0.106,0.103,27,6.6,0.125,0.031,0.046,0.215,0.542,0.016,0.197,0.011,0.004,0.934,0.956,0.044,0.388,3.6,0.019,0.276,0.291,0.188,0.2,46245,0.053,0.045,0.526,0.545,0.315,0.38,0.105,0.03,0.043,0.069,0.283,0.578,0.474,"1,912","12,583"
"51","Compton",0.248,0.153,0.244,0.191,0.091,0.073,24,10.3,0.519,0.041,0.06,0.212,0.517,0.019,0.212,0.014,0.398,0.567,0.992,0.008,0.312,3.9,0.028,0.296,0.267,0.178,0.168,43157,0.088,0.054,0.479,0.498,0.348,0.419,0.084,0.029,0.157,0.084,0.222,0.529,0.572,"9,199","94,384"
"52","Covina",0.177,0.116,0.226,0.239,0.133,0.109,33,7.6,0.653,0.134,0.19,0.264,0.183,0.056,0.363,0.098,0.047,0.395,0.578,0.422,0.2,2.9,0.062,0.177,0.224,0.188,0.319,66438,0.128,0.083,0.519,0.553,0.258,0.338,0.095,0.026,0.124,0.116,0.281,0.472,0.598,"6,701","50,954"
"53","Cudahy",0.258,0.159,0.294,0.178,0.074,0.038,22,1.2,0.117,0.02,0.03,0.172,0.674,0.011,0.124,0.007,0.002,0.938,0.956,0.044,0.531,4.3,0.02,0.329,0.326,0.181,0.122,39048,0.057,0.039,0.547,0.548,0.336,0.404,0.061,0.009,0.203,0.138,0.207,0.453,0.174,"19,697","24,208"
"54","Culver City",0.132,0.084,0.201,0.273,0.17,0.139,39,5.2,0.681,0.239,0.412,0.153,0.128,0.173,0.306,0.123,0.107,0.238,0.517,0.483,0.266,2.3,0.107,0.141,0.206,0.211,0.306,70774,0.151,0.088,0.476,0.543,0.286,0.346,0.086,0.022,0.084,0.081,0.251,0.572,0.544,"7,475","38,816"
"55","Cypress Park",0.207,0.119,0.284,0.191,0.115,0.084,27,0.7,0.311,0.053,0.084,0.14,0.64,0.031,0.136,0.111,0.006,0.821,0.951,0.049,0.525,3.7,0.055,0.3,0.276,0.159,0.16,42615,0.056,0.035,0.518,0.544,0.333,0.4,0.092,0.021,0.248,0.228,0.152,0.328,0.417,"13,478","9,764"
"56","Del Aire",0.189,0.112,0.223,0.267,0.123,0.085,33,1,0.657,0.108,0.151,0.254,0.251,0.043,0.344,0.088,0.071,0.464,0.664,0.336,0.327,3.1,0.079,0.165,0.225,0.196,0.313,66442,0.112,0.07,0.557,0.545,0.254,0.359,0.077,0.026,0.169,0.102,0.305,0.419,0.664,"9,132","9,039"
"57","Del Rey",0.131,0.097,0.272,0.232,0.149,0.119,35,2.5,0.666,0.209,0.309,0.16,0.275,0.1,0.256,0.141,0.044,0.443,0.66,0.34,0.379,2.5,0.107,0.199,0.231,0.182,0.26,62259,0.127,0.076,0.469,0.471,0.32,0.429,0.084,0.024,0.092,0.084,0.229,0.588,0.448,"11,420","28,010"
"58","Desert View Highlands",0.187,0.166,0.161,0.309,0.112,0.064,33,0.4,0.645,0.136,0.172,0.239,0.153,0.036,0.436,0.068,0.109,0.279,0.49,0.51,0.169,3.3,0.043,0.117,0.176,0.196,0.44,80867,0.109,0.098,0.631,0.623,0.212,0.255,0.049,0.024,0.18,0.145,0.332,0.343,0.814,"5,160","2,287"
"59","Diamond Bar",0.152,0.132,0.19,0.276,0.177,0.072,36,15.1,0.687,0.29,0.424,0.169,0.093,0.134,0.313,0.425,0.046,0.186,0.691,0.309,0.385,3.2,0.15,0.092,0.145,0.177,0.423,92414,0.088,0.045,0.616,0.637,0.232,0.303,0.063,0.016,0.11,0.111,0.363,0.414,0.828,"3,754","56,784"
"60","Downey",0.181,0.126,0.245,0.215,0.122,0.112,31,12.5,0.577,0.119,0.173,0.249,0.277,0.054,0.301,0.074,0.035,0.578,0.714,0.286,0.353,3.1,0.067,0.188,0.231,0.21,0.282,61839,0.105,0.069,0.524,0.565,0.272,0.341,0.099,0.026,0.11,0.083,0.243,0.556,0.518,"8,566","107,323"
"61","Downtown",0.075,0.049,0.285,0.265,0.166,0.16,39,5.8,0.743,0.101,0.179,0.201,0.41,0.078,0.209,0.213,0.223,0.367,0.838,0.162,0.419,1.6,0.032,0.574,0.138,0.053,0.084,15003,0.099,0.147,0.405,0.351,0.329,0.455,0.167,0.047,0.27,0.046,0.323,0.35,0.066,"4,770","27,849"
"62","Duarte",0.181,0.117,0.207,0.23,0.144,0.12,34,6.7,0.687,0.163,0.236,0.223,0.256,0.073,0.285,0.127,0.087,0.431,0.681,0.319,0.329,3.1,0.072,0.178,0.211,0.175,0.336,68539,0.117,0.08,0.527,0.583,0.249,0.313,0.108,0.025,0.14,0.056,0.322,0.482,0.71,"3,212","21,486"
"63","Eagle Rock",0.15,0.096,0.251,0.234,0.146,0.123,35,4.3,0.69,0.219,0.304,0.177,0.216,0.086,0.303,0.239,0.019,0.403,0.702,0.298,0.385,2.8,0.093,0.172,0.223,0.179,0.299,67253,0.101,0.069,0.496,0.526,0.304,0.381,0.1,0.024,0.128,0.093,0.239,0.527,0.561,"7,644","32,493"
"64","East Compton",0.257,0.161,0.266,0.187,0.092,0.037,22,0.8,0.416,0.029,0.039,0.183,0.588,0.01,0.19,0.01,0.229,0.729,0.987,0.013,0.41,4.4,0.032,0.291,0.259,0.199,0.167,44439,0.069,0.042,0.529,0.526,0.352,0.411,0.051,0.021,0.129,0.154,0.411,0.306,0.561,"16,542","13,802"
"65","East Hollywood",0.176,0.112,0.277,0.243,0.103,0.089,31,2.4,0.578,0.1,0.134,0.195,0.484,0.034,0.187,0.155,0.024,0.604,0.825,0.175,0.665,3,0.01,0.435,0.317,0.117,0.087,29927,0.072,0.057,0.509,0.498,0.333,0.426,0.086,0.019,0.24,0.214,0.164,0.376,0.087,"31,095","73,967"
"66","East La Mirada",0.166,0.12,0.212,0.236,0.144,0.122,35,1.1,0.561,0.115,0.149,0.307,0.163,0.034,0.381,0.037,0.014,0.38,0.459,0.541,0.122,2.8,0.065,0.158,0.214,0.204,0.347,69930,0.124,0.066,0.547,0.612,0.24,0.301,0.088,0.02,0.111,0.061,0.281,0.547,0.648,"8,506","9,442"
"67","East Los Angeles",0.227,0.134,0.283,0.18,0.092,0.083,25,7.5,0.065,0.026,0.037,0.175,0.661,0.01,0.127,0.01,0.003,0.967,0.983,0.017,0.486,3.9,0.02,0.324,0.31,0.168,0.137,38621,0.064,0.042,0.499,0.51,0.353,0.423,0.084,0.025,0.129,0.155,0.171,0.541,0.366,"16,863","125,897"
"68","East Pasadena",0.161,0.102,0.204,0.236,0.166,0.132,36,1.3,0.692,0.256,0.398,0.127,0.206,0.142,0.269,0.197,0.022,0.358,0.628,0.372,0.375,2.9,0.177,0.152,0.205,0.164,0.257,73690,0.076,0.062,0.607,0.61,0.226,0.317,0.091,0.011,0.101,0.056,0.295,0.548,0.712,"4,622","6,045"
"69","East San Gabriel",0.141,0.109,0.222,0.251,0.151,0.126,36,2.2,0.683,0.207,0.321,0.19,0.199,0.114,0.29,0.406,0.016,0.268,0.718,0.282,0.451,2.9,0.076,0.178,0.237,0.175,0.303,64365,0.106,0.07,0.528,0.592,0.282,0.318,0.084,0.02,0.122,0.076,0.253,0.543,0.544,"10,157","22,171"
"70","Echo Park",0.186,0.108,0.293,0.217,0.115,0.081,30,2.4,0.538,0.123,0.18,0.161,0.48,0.057,0.178,0.188,0.02,0.64,0.871,0.129,0.531,3,0.034,0.33,0.288,0.142,0.141,37708,0.079,0.052,0.463,0.46,0.383,0.468,0.076,0.02,0.186,0.138,0.237,0.436,0.24,"16,868","40,455"
"71","Elizabeth Lake",0.17,0.202,0.146,0.298,0.131,0.053,33,6.3,0.39,0.121,0.167,0.262,0.133,0.046,0.438,0.009,0.043,0.162,0.238,0.762,0.049,2.7,0.052,0.106,0.162,0.193,0.34,75951,0.148,0.087,0.66,0.583,0.145,0.302,0.047,0.028,0.188,0.08,0.399,0.333,0.774,"219","1,379"
"72","El Monte",0.221,0.136,0.278,0.198,0.102,0.066,26,9.7,0.435,0.051,0.071,0.199,0.558,0.02,0.172,0.185,0.005,0.725,0.927,0.073,0.513,4,0.03,0.275,0.306,0.187,0.179,44415,0.073,0.042,0.536,0.527,0.316,0.413,0.075,0.019,0.17,0.105,0.276,0.435,0.41,"11,995","116,249"
"73","El Segundo",0.142,0.09,0.224,0.296,0.153,0.095,36,5.5,0.38,0.278,0.408,0.155,0.072,0.13,0.365,0.067,0.011,0.103,0.224,0.776,0.124,2.3,0.119,0.087,0.175,0.206,0.389,83925,0.159,0.138,0.483,0.499,0.27,0.34,0.088,0.024,0.137,0.121,0.386,0.356,0.419,"2,925","15,970"
"74","El Sereno",0.198,0.125,0.27,0.197,0.114,0.095,28,4.2,0.325,0.065,0.094,0.202,0.498,0.029,0.206,0.114,0.017,0.812,0.951,0.049,0.425,3.5,0.033,0.276,0.281,0.192,0.178,45866,0.071,0.051,0.496,0.537,0.35,0.392,0.082,0.02,0.112,0.097,0.193,0.594,0.481,"9,826","40,954"
"75","Elysian Park",0.19,0.138,0.221,0.228,0.133,0.091,31,1.6,0.582,0.082,0.13,0.165,0.555,0.048,0.15,0.434,0.021,0.476,0.969,0.031,0.544,3.1,0.033,0.5,0.295,0.1,0.111,28263,0.06,0.091,0.501,0.484,0.33,0.418,0.11,0.008,0.275,0.089,0.178,0.39,0.181,"1,538","2,530"
"76","Elysian Valley",0.173,0.137,0.247,0.224,0.133,0.086,31,0.8,0.552,0.116,0.171,0.169,0.453,0.054,0.208,0.256,0.011,0.61,0.903,0.097,0.475,3.4,0.038,0.24,0.268,0.206,0.181,49013,0.062,0.042,0.501,0.575,0.351,0.358,0.086,0.026,0.343,0.055,0.237,0.365,0.478,"9,354","7,387"
"77","Encino",0.111,0.074,0.188,0.244,0.185,0.197,42,9.5,0.346,0.262,0.468,0.162,0.093,0.206,0.277,0.049,0.024,0.085,0.199,0.801,0.328,2.3,0.221,0.16,0.181,0.158,0.252,78529,0.136,0.089,0.532,0.602,0.221,0.279,0.111,0.03,0.042,0.046,0.176,0.719,0.616,"4,411","41,905"
"78","Exposition Park",0.215,0.141,0.261,0.216,0.096,0.07,26,1.8,0.539,0.052,0.073,0.191,0.512,0.021,0.225,0.016,0.381,0.561,0.978,0.022,0.385,3.3,0.014,0.381,0.289,0.132,0.105,33999,0.089,0.054,0.431,0.472,0.391,0.455,0.088,0.019,0.202,0.11,0.269,0.412,0.31,"16,819","31,062"
"79","Fairfax",0.107,0.062,0.365,0.226,0.098,0.142,33,1.2,0.277,0.374,0.546,0.128,0.095,0.172,0.231,0.045,0.022,0.059,0.153,0.847,0.232,2,0.115,0.21,0.197,0.159,0.285,65938,0.095,0.056,0.359,0.365,0.455,0.549,0.09,0.031,0.07,0.095,0.219,0.605,0.285,"10,122","12,490"
"80","Florence",0.257,0.153,0.266,0.189,0.075,0.059,23,2.8,0.434,0.019,0.028,0.183,0.659,0.01,0.129,0.004,0.281,0.698,0.996,0.004,0.413,3.8,0.017,0.422,0.254,0.127,0.084,29447,0.067,0.057,0.479,0.483,0.362,0.431,0.092,0.028,0.126,0.179,0.255,0.419,0.348,"15,661","43,815"
"81","Florence-Firestone",0.262,0.156,0.276,0.183,0.073,0.049,22,3.6,0.243,0.016,0.024,0.162,0.709,0.008,0.106,0,0.128,0.861,0.992,0.008,0.455,4.2,0.015,0.371,0.311,0.145,0.102,34408,0.055,0.035,0.499,0.504,0.372,0.439,0.074,0.022,0.125,0.109,0.189,0.538,0.376,"16,805","60,154"
"82","Gardena",0.172,0.097,0.239,0.227,0.139,0.126,34,5.8,0.748,0.128,0.166,0.258,0.26,0.038,0.316,0.272,0.245,0.318,0.876,0.124,0.328,2.8,0.035,0.242,0.252,0.19,0.251,52897,0.109,0.082,0.506,0.531,0.286,0.364,0.098,0.022,0.152,0.065,0.267,0.513,0.473,"9,894","57,818"
"83","Glassell Park",0.198,0.117,0.266,0.213,0.124,0.081,30,2.8,0.513,0.136,0.197,0.16,0.419,0.061,0.224,0.174,0.014,0.661,0.863,0.137,0.515,3.3,0.053,0.235,0.278,0.186,0.202,50098,0.066,0.062,0.522,0.528,0.328,0.395,0.084,0.015,0.138,0.15,0.217,0.487,0.438,"8,524","23,467"
"84","Glendale",0.137,0.1,0.217,0.256,0.151,0.139,37,30.6,0.635,0.208,0.321,0.192,0.21,0.112,0.278,0.163,0.01,0.196,0.459,0.541,0.544,2.7,0.092,0.24,0.224,0.181,0.238,57112,0.1,0.06,0.533,0.591,0.25,0.33,0.117,0.019,0.132,0.089,0.231,0.534,0.384,"6,368","195,047"
"85","Glendora",0.161,0.122,0.18,0.251,0.16,0.126,37,19.5,0.495,0.166,0.257,0.217,0.129,0.091,0.397,0.065,0.013,0.221,0.328,0.672,0.141,2.8,0.124,0.125,0.185,0.183,0.37,81336,0.113,0.078,0.577,0.626,0.211,0.268,0.098,0.028,0.083,0.062,0.33,0.52,0.735,"2,568","50,177"
"86","Gramercy Park",0.177,0.119,0.185,0.209,0.168,0.143,36,1.1,0.241,0.109,0.149,0.215,0.229,0.04,0.407,0.004,0.864,0.115,0.992,0.008,0.093,2.8,0.025,0.197,0.237,0.195,0.275,57983,0.163,0.111,0.401,0.488,0.305,0.37,0.131,0.031,0.091,0.088,0.296,0.507,0.704,"8,859","10,047"
"87","Granada Hills",0.142,0.111,0.201,0.253,0.168,0.126,37,15.1,0.62,0.223,0.327,0.213,0.13,0.104,0.33,0.163,0.034,0.206,0.445,0.555,0.292,2.9,0.143,0.116,0.174,0.177,0.367,83911,0.102,0.067,0.585,0.604,0.222,0.31,0.091,0.019,0.085,0.067,0.265,0.572,0.736,"3,344","50,535"
"88","Green Meadows",0.243,0.163,0.231,0.202,0.08,0.08,24,2.2,0.512,0.029,0.036,0.209,0.56,0.007,0.195,0.003,0.441,0.542,0.994,0.006,0.302,3.7,0.016,0.396,0.262,0.131,0.103,31347,0.075,0.051,0.424,0.503,0.389,0.428,0.113,0.019,0.131,0.121,0.215,0.511,0.484,"12,785","28,381"
"89","Green Valley",0.164,0.142,0.147,0.297,0.164,0.087,37,2.6,0.42,0.097,0.171,0.285,0.107,0.074,0.437,0.033,0.055,0.124,0.252,0.748,0.127,2.6,0.034,0.099,0.127,0.185,0.358,78712,0.069,0.16,0.65,0.557,0.201,0.261,0.079,0.022,0.097,0.091,0.491,0.315,0.863,"290","754"
"91","Hacienda Heights",0.14,0.128,0.204,0.236,0.173,0.118,36,11.9,0.674,0.208,0.308,0.218,0.184,0.1,0.291,0.361,0.012,0.381,0.775,0.225,0.4,3.2,0.114,0.128,0.186,0.177,0.371,80762,0.081,0.057,0.573,0.621,0.261,0.308,0.086,0.014,0.065,0.09,0.296,0.542,0.795,"4,503","53,525"
"92","Hancock Park",0.121,0.076,0.246,0.26,0.164,0.134,37,1.5,0.473,0.349,0.562,0.11,0.069,0.213,0.26,0.131,0.038,0.085,0.293,0.707,0.263,2.1,0.259,0.153,0.159,0.148,0.243,85277,0.125,0.081,0.459,0.486,0.344,0.413,0.072,0.02,0.106,0.029,0.201,0.652,0.473,"6,459","9,804"
"94","Harbor City",0.205,0.107,0.272,0.226,0.112,0.078,30,2.6,0.674,0.133,0.181,0.218,0.292,0.048,0.309,0.141,0.107,0.481,0.749,0.251,0.362,2.9,0.052,0.231,0.236,0.186,0.256,55454,0.101,0.067,0.523,0.555,0.303,0.352,0.073,0.026,0.17,0.097,0.29,0.432,0.456,"9,127","23,561"
"95","Harbor Gateway",0.219,0.116,0.285,0.206,0.102,0.073,27,5.1,0.648,0.091,0.124,0.225,0.397,0.033,0.254,0.16,0.163,0.534,0.882,0.118,0.408,3.3,0.031,0.254,0.298,0.17,0.221,47849,0.074,0.061,0.562,0.519,0.301,0.402,0.063,0.018,0.111,0.109,0.281,0.493,0.403,"7,720","39,688"
"96","Harvard Heights",0.188,0.117,0.277,0.226,0.113,0.08,30,0.8,0.517,0.074,0.103,0.169,0.56,0.029,0.168,0.133,0.16,0.663,0.967,0.033,0.578,3.2,0.019,0.422,0.279,0.123,0.104,31173,0.089,0.055,0.482,0.5,0.34,0.428,0.088,0.017,0.189,0.125,0.251,0.427,0.157,"23,473","18,587"
"97","Harvard Park",0.212,0.151,0.217,0.215,0.115,0.09,28,0.6,0.533,0.035,0.048,0.233,0.48,0.013,0.238,0.006,0.484,0.482,0.989,0.011,0.312,3.3,0.018,0.341,0.273,0.152,0.124,37013,0.124,0.063,0.409,0.468,0.363,0.44,0.104,0.029,0.119,0.042,0.323,0.486,0.51,"16,072","10,297"
"98","Hasley Canyon",0.184,0.124,0.22,0.331,0.108,0.034,33,3.1,0.547,0.15,0.198,0.208,0.176,0.048,0.417,0.037,0.047,0.27,0.387,0.613,0.153,3.1,0.215,0.079,0.091,0.147,0.461,106489,0.117,0.091,0.681,0.684,0.173,0.201,0.029,0.024,0.169,0.147,0.445,0.239,0.9,"136","423"
"99","Hawaiian Gardens",0.238,0.148,0.268,0.19,0.093,0.063,24,1,0.436,0.046,0.067,0.219,0.544,0.021,0.17,0.089,0.046,0.736,0.891,0.109,0.456,3.9,0.021,0.277,0.28,0.235,0.2,46853,0.08,0.054,0.514,0.51,0.33,0.423,0.077,0.014,0.1,0.186,0.286,0.418,0.451,"15,141","14,915"
"100","Hawthorne",0.215,0.112,0.293,0.22,0.1,0.06,27,6.2,0.676,0.086,0.126,0.237,0.332,0.041,0.305,0.076,0.324,0.442,0.871,0.129,0.333,2.9,0.033,0.275,0.309,0.169,0.178,43602,0.116,0.075,0.465,0.502,0.35,0.41,0.069,0.013,0.246,0.143,0.252,0.35,0.257,"13,848","86,265"
"101","Hermosa Beach",0.076,0.04,0.405,0.274,0.138,0.068,33,1.5,0.272,0.444,0.676,0.075,0.025,0.233,0.223,0.049,0.007,0.069,0.151,0.849,0.081,1.9,0.26,0.076,0.123,0.145,0.358,109509,0.103,0.102,0.407,0.373,0.432,0.512,0.058,0.013,0.102,0.124,0.359,0.415,0.427,"12,481","18,442"
"102","Hidden Hills",0.181,0.156,0.084,0.252,0.227,0.1,41,1.7,0.207,0.299,0.579,0.088,0.077,0.28,0.256,0.027,0.004,0.062,0.113,0.887,0.127,3.3,0.646,0.031,0.068,0.059,0.168,203199,0.051,0.055,0.739,0.766,0.165,0.165,0.045,0.014,0,0,0.408,0.592,0.97,"1,100","1,875"
"103","Highland Park",0.214,0.113,0.275,0.208,0.113,0.076,28,3.4,0.449,0.099,0.143,0.183,0.474,0.044,0.2,0.112,0.024,0.724,0.887,0.113,0.451,3.3,0.031,0.277,0.279,0.173,0.188,45478,0.093,0.049,0.504,0.522,0.332,0.412,0.071,0.016,0.151,0.14,0.29,0.414,0.391,"16,835","57,566"
"104","Historic South-Central",0.251,0.14,0.318,0.176,0.076,0.039,23,2.6,0.229,0.021,0.032,0.134,0.742,0.011,0.092,0.01,0.101,0.872,0.988,0.012,0.563,4.1,0.019,0.405,0.284,0.126,0.09,30882,0.05,0.034,0.519,0.491,0.367,0.464,0.064,0.011,0.161,0.168,0.22,0.424,0.204,"19,474","49,728"
"105","Hollywood",0.127,0.076,0.369,0.235,0.104,0.089,31,3.5,0.644,0.195,0.275,0.175,0.317,0.08,0.233,0.071,0.052,0.422,0.59,0.41,0.538,2.1,0.027,0.396,0.284,0.134,0.121,33694,0.088,0.064,0.418,0.371,0.398,0.551,0.096,0.014,0.225,0.172,0.22,0.375,0.076,"22,193","77,818"
"106","Hollywood Hills",0.065,0.035,0.32,0.304,0.158,0.117,37,7,0.433,0.348,0.548,0.111,0.067,0.2,0.274,0.067,0.046,0.094,0.259,0.741,0.228,1.8,0.175,0.175,0.196,0.135,0.227,69277,0.131,0.113,0.416,0.334,0.381,0.535,0.072,0.017,0.13,0.101,0.224,0.546,0.435,"3,063","21,588"
"107","Hollywood Hills West",0.072,0.038,0.252,0.313,0.184,0.14,41,4.9,0.273,0.347,0.588,0.115,0.05,0.241,0.247,0.039,0.027,0.058,0.151,0.849,0.254,1.9,0.335,0.117,0.143,0.111,0.233,108199,0.109,0.088,0.48,0.384,0.327,0.51,0.084,0.018,0.079,0.033,0.186,0.689,0.636,"3,048","14,860"
