"","Neighborhood","Age 10 or less (%)","Age 11 to 18 (%)","Age 19 to 34 (%)","Age 35 to 49 (%)","Age 50 to 64 (%)","Age 65 and up (%)","Median Age","Square Miles","Diversity Index","Bachelor's Degree (%)","Four-year Degrees (%)","High School Diploma (%)","Less Than High School (%)","Masters Degree or Higher (%)","Some College (%)","Asian Population (%)","Black Population (%)","Latino Population (%)","Non-White Population (%)","White Population (%)","Foreign Born Population (%)","Median income 125k and up (%)","Median income 20k income or less (%)","Median income 20k to 40k income (%)","Median income 40k to 60k income (%)","Median income 60k to 125k income (%)","Percent of Households (%)","Median Income ($)","Divorced Females (%)","Divorced Males (%)","Married Females (%)","Married Males (%)","Never Married Females (%)","Never Married Males (%)","Widowed Females (%)","Widowed Males (%)","1975-1990 (%)","1990-1999 (%)","Vietnam (%)","World War II or Korea (%)","Homeowners (%)","Population per Sqmi","Population Total"
"259","Westlake Village",0.132,0.104,0.116,0.248,0.229,0.172,43,5.6,0.261,0.289,0.514,0.106,0.047,0.225,0.333,0.062,0.005,0.045,0.145,0.855,0.134,2.5,0.353,0.076,0.1,0.125,0.337,126550,0.093,0.064,0.656,0.745,0.162,0.165,0.088,0.026,0.065,0.06,0.278,0.597,0.87,"1,534","8,663"
"260","West Los Angeles",0.087,0.045,0.289,0.248,0.156,0.174,38,1,0.393,0.33,0.604,0.097,0.055,0.275,0.244,0.114,0.024,0.053,0.233,0.767,0.285,1.9,0.225,0.147,0.132,0.175,0.285,86403,0.112,0.077,0.447,0.525,0.329,0.373,0.112,0.026,0.049,0.091,0.168,0.689,0.49,"12,061","12,659"
"261","Westmont",0.243,0.153,0.233,0.204,0.105,0.063,25,1.8,0.514,0.046,0.057,0.242,0.451,0.011,0.25,0.007,0.575,0.393,0.987,0.013,0.237,3.3,0.014,0.4,0.258,0.123,0.113,31572,0.098,0.079,0.417,0.451,0.407,0.443,0.078,0.027,0.175,0.121,0.295,0.401,0.32,"17,066","31,467"
"262","West Puente Valley",0.195,0.146,0.251,0.205,0.108,0.096,28,1.9,0.334,0.057,0.077,0.244,0.488,0.02,0.19,0.087,0.019,0.807,0.921,0.079,0.421,4.2,0.053,0.168,0.238,0.215,0.312,64809,0.065,0.039,0.554,0.566,0.3,0.375,0.081,0.019,0.11,0.126,0.265,0.486,0.772,"12,855","23,866"
"263","West San Dimas",0.149,0.107,0.138,0.277,0.225,0.105,41,0.3,0.581,0.297,0.458,0.125,0.059,0.16,0.358,0.155,0.029,0.199,0.405,0.595,0.228,2.8,0.262,0.038,0.085,0.127,0.449,125984,0.08,0.05,0.645,0.707,0.184,0.217,0.091,0.025,0.1,0.033,0.297,0.559,0.873,"937","309"
"264","West Whittier-Los Nietos",0.196,0.144,0.232,0.206,0.117,0.104,29,2.6,0.307,0.066,0.086,0.263,0.402,0.02,0.249,0.01,0.009,0.82,0.856,0.144,0.285,3.5,0.041,0.165,0.257,0.234,0.288,61504,0.091,0.062,0.524,0.518,0.292,0.398,0.094,0.022,0.095,0.095,0.306,0.498,0.708,"9,899","25,880"
"265","Westwood",0.049,0.075,0.515,0.145,0.097,0.12,27,3.7,0.543,0.317,0.665,0.095,0.052,0.348,0.188,0.231,0.02,0.07,0.371,0.629,0.313,2,0.2,0.256,0.147,0.117,0.217,68716,0.062,0.036,0.324,0.375,0.546,0.572,0.069,0.018,0.072,0.084,0.141,0.697,0.359,"13,036","47,916"
"266","Whittier",0.178,0.122,0.232,0.226,0.117,0.125,32,14.7,0.548,0.144,0.219,0.234,0.212,0.074,0.335,0.038,0.009,0.558,0.629,0.371,0.183,2.8,0.089,0.168,0.216,0.201,0.299,66891,0.108,0.076,0.528,0.555,0.259,0.339,0.105,0.029,0.103,0.085,0.268,0.534,0.578,"5,688","83,838"
"268","Willowbrook",0.231,0.158,0.239,0.188,0.098,0.086,25,3.8,0.523,0.043,0.063,0.204,0.512,0.02,0.22,0.006,0.443,0.53,0.991,0.009,0.29,3.7,0.032,0.331,0.284,0.139,0.154,38224,0.092,0.049,0.435,0.488,0.37,0.421,0.104,0.042,0.185,0.09,0.196,0.512,0.524,"9,117","34,336"
"269","Wilmington",0.241,0.135,0.28,0.193,0.09,0.06,24,9.1,0.245,0.03,0.051,0.2,0.612,0.021,0.137,0.027,0.026,0.866,0.936,0.064,0.445,3.8,0.035,0.299,0.307,0.162,0.158,40627,0.068,0.052,0.551,0.554,0.296,0.382,0.086,0.013,0.166,0.111,0.264,0.43,0.385,"5,636","51,517"
"270","Windsor Square",0.166,0.079,0.177,0.295,0.16,0.124,38,0.7,0.661,0.264,0.461,0.147,0.132,0.197,0.26,0.416,0.043,0.148,0.623,0.377,0.45,2.5,0.208,0.236,0.215,0.125,0.184,61767,0.089,0.066,0.533,0.598,0.266,0.323,0.112,0.014,0.106,0.051,0.31,0.523,0.41,"8,255","5,642"
"271","Winnetka",0.176,0.11,0.263,0.246,0.119,0.086,32,4.8,0.678,0.158,0.219,0.211,0.28,0.061,0.289,0.155,0.043,0.406,0.639,0.361,0.414,3.1,0.06,0.18,0.247,0.19,0.299,62535,0.091,0.065,0.543,0.56,0.284,0.358,0.081,0.018,0.153,0.112,0.243,0.486,0.517,"9,826","46,943"
"272","Woodland Hills",0.12,0.081,0.198,0.259,0.181,0.161,40,14.8,0.374,0.297,0.47,0.153,0.064,0.173,0.313,0.071,0.029,0.076,0.217,0.783,0.248,2.3,0.206,0.134,0.144,0.15,0.32,89946,0.132,0.098,0.557,0.583,0.215,0.295,0.095,0.023,0.065,0.059,0.243,0.624,0.631,"4,040","59,661"
